	Cell1	Cell2	Cell3	Cell4	Cell5	Cell6	Cell7	Cell8	Cell9	Cell10	Cell11	Cell12	Cell13	Cell14	Cell15	Cell16	Cell17	Cell18	Cell19	Cell20	Cell21	Cell22	Cell23	Cell24	Cell25	Cell26	Cell27	Cell28	Cell29	Cell30	Cell31	Cell32	Cell33	Cell34	Cell35	Cell36	Cell37	Cell38	Cell39	Cell40	Cell41	Cell42	Cell43	Cell44	Cell45	Cell46	Cell47	Cell48	Cell49	Cell50	Cell51	Cell52	Cell53	Cell54	Cell55	Cell56	Cell57	Cell58	Cell59	Cell60	Cell61	Cell62	Cell63	Cell64	Cell65
CCDC88A	0.48	0.56	0.13	0.33	0.15	0.71	0.47	0.45	0.09	0.39	0.03	0.88	0.66	0.96	0.60	0.97	0.98	0.27	0.29	0.59	0.11	0.59	0.23	0.15	0.38	0.99	0.90	0.43	0.27	0.34	0.21	0.37	0.70	0.32	0.32	0.49	0.50	0.56	0.29	0.46	0.28	0.58	0.59	0.26	0.95	0.35	0.70	0.45	0.77	0.60	0.73	0.65	0.53	0.55	0.43	0.75	0.93	0.92	0.55	0.11	0.76	0.17	0.84	0.47	0.78
MKIAA0077	0.93	0.80	0.81	0.01	0.82	0.06	0.81	0.18	0.61	0.73	0.30	0.85	0.48	0.64	0.33	0.37	0.16	0.95	0.79	0.73	0.67	0.40	0.30	0.33	0.96	0.03	0.67	0.22	0.52	0.70	0.98	0.96	0.29	0.40	0.74	0.19	0.31	0.96	0.18	0.21	0.03	0.98	0.67	0.74	0.20	0.35	0.02	0.93	0.03	0.13	0.67	0.41	0.90	0.68	0.55	0.36	0.42	0.84	0.36	0.11	0.91	0.34	0.62	0.93	0.32
SH3PXD2B	0.38	0.99	0.18	0.56	0.74	0.44	0.64	0.76	0.43	0.90	0.70	0.35	0.66	0.80	0.82	0.08	0.46	0.64	0.88	0.93	0.28	0.06	0.47	0.04	0.03	0.86	0.43	0.50	0.23	0.19	0.30	0.81	0.21	0.58	0.94	0.87	0.20	0.82	0.22	0.70	0.86	0.41	0.96	0.25	0.51	0.23	0.97	0.80	0.78	0.06	0.63	0.05	0.65	0.03	0.44	0.58	0.89	0.67	0.18	0.65	0.34	0.81	0.30	0.05	0.58
RARS	0.60	0.88	0.18	0.97	0.88	0.23	0.48	0.37	0.33	0.18	0.07	0.13	0.28	0.46	0.32	0.01	0.95	0.62	0.58	0.97	0.57	0.95	0.07	0.70	0.68	0.21	0.50	0.16	0.75	0.21	0.63	0.85	0.34	0.96	0.76	0.33	0.28	0.76	0.12	0.61	0.55	0.95	0.93	0.54	0.77	0.84	0.43	0.14	0.28	0.89	0.48	0.86	0.69	0.47	0.75	0.28	0.62	0.66	0.86	0.96	0.56	0.27	0.10	0.48	0.81
PWWP2A	0.04	0.48	0.93	0.27	0.27	0.41	0.39	0.37	0.36	0.32	0.87	0.17	0.23	0.04	0.39	0.83	0.26	0.21	0.55	0.89	0.08	0.24	0.40	0.40	0.08	0.25	0.99	0.60	0.74	0.77	0.15	0.62	0.08	0.72	0.67	0.28	0.19	0.79	0.32	0.70	0.16	0.82	0.71	0.60	0.90	0.45	0.39	0.35	1.00	0.87	0.43	0.88	0.77	0.66	0.63	0.37	0.08	0.99	0.31	0.29	0.31	0.18	0.64	0.62	0.31
ADAM19	0.44	0.68	0.60	0.65	0.89	0.10	0.96	0.89	0.45	0.93	0.07	0.55	0.55	0.25	0.36	0.32	0.69	0.33	0.68	0.79	0.11	0.77	0.42	0.78	0.31	0.09	0.32	0.28	0.18	0.30	0.18	0.70	0.71	0.15	0.09	0.16	0.69	0.13	0.81	0.52	0.01	0.56	0.69	0.65	0.59	0.12	0.05	0.83	0.77	0.89	0.70	0.70	0.86	0.85	0.52	0.66	0.81	0.65	0.24	0.04	0.49	0.12	0.55	0.53	0.12
GM5431	0.01	0.01	0.27	0.23	0.66	0.53	0.39	0.39	0.34	0.43	0.21	0.28	0.27	0.15	0.69	0.70	0.51	0.92	0.49	0.53	0.93	0.75	0.10	0.01	0.81	0.83	0.30	0.44	0.90	0.44	0.02	0.98	0.97	0.87	0.78	0.79	0.03	0.14	0.24	0.40	0.37	0.54	0.81	0.73	0.67	0.60	0.12	0.49	0.75	0.76	0.95	0.42	0.97	0.55	0.58	0.91	0.45	0.49	0.22	0.98	0.17	0.50	0.86	0.19	0.79
CNOT6	0.66	0.59	0.12	1.00	0.72	0.22	0.96	0.08	0.66	0.69	0.46	0.75	0.27	0.93	0.93	0.70	0.54	0.76	0.20	0.93	0.82	0.54	0.64	0.80	0.50	0.96	0.79	0.69	0.62	0.15	0.16	0.26	0.71	0.03	0.98	0.54	0.01	0.90	0.36	0.62	0.16	0.24	0.98	0.96	0.70	0.32	0.25	0.87	0.88	0.16	0.80	0.78	0.25	0.31	0.58	0.15	0.22	0.02	0.21	0.05	0.27	0.93	0.79	0.37	0.34
MAML1	0.63	0.91	0.07	0.21	0.87	0.07	0.08	0.38	0.19	0.32	0.56	0.96	0.98	0.29	0.64	0.18	0.22	0.19	0.31	0.53	0.78	0.44	0.57	0.21	0.35	0.14	0.67	0.82	0.48	0.88	0.35	0.54	0.50	0.35	0.87	0.96	0.31	0.31	0.65	0.91	0.50	0.04	0.20	0.93	0.93	0.47	0.23	0.72	0.49	0.59	0.16	0.92	0.84	0.82	0.56	0.25	0.37	0.42	0.17	0.69	0.80	0.93	0.99	0.07	0.99
RMND5B	0.63	0.98	0.34	0.46	0.77	0.18	0.25	0.69	0.30	0.26	0.71	0.46	0.41	0.07	0.04	0.50	0.10	0.70	0.41	0.73	0.34	0.99	0.73	0.90	0.54	0.57	0.26	0.61	0.70	0.97	0.21	0.80	0.80	0.27	0.61	0.99	0.69	0.45	0.03	0.84	0.63	0.80	0.77	0.76	0.50	0.06	0.40	0.97	0.28	0.81	0.03	0.76	0.76	0.72	0.54	0.35	0.70	0.06	0.20	0.59	0.32	0.41	0.57	0.38	0.90
CASP8	0.79	0.45	0.65	0.65	0.65	0.20	0.71	0.19	0.59	0.07	0.04	0.77	0.45	0.45	0.18	0.57	0.07	0.40	0.69	0.81	0.24	0.96	0.96	0.78	0.43	0.42	0.34	0.91	0.50	0.03	0.32	0.52	0.54	0.67	0.96	0.70	0.45	0.81	0.10	0.26	0.63	0.83	0.43	0.07	0.71	0.90	0.07	0.71	0.30	0.08	0.05	0.71	0.93	0.51	0.19	0.28	0.78	0.45	0.81	0.98	0.13	0.51	0.63	0.19	0.24
UQCRQ	0.55	0.81	0.67	0.10	0.64	0.93	0.83	0.05	0.60	0.36	0.26	0.27	0.37	0.82	0.33	0.74	0.10	0.48	0.80	0.69	0.77	0.45	0.52	0.65	0.85	0.36	0.42	0.94	0.87	0.79	0.16	0.07	0.53	0.27	0.30	0.50	0.48	0.97	0.64	0.82	0.23	0.24	0.56	0.72	0.02	0.06	0.36	0.08	0.68	0.19	0.74	0.05	0.45	0.99	0.49	0.42	0.84	0.58	0.73	0.35	0.46	0.02	0.86	0.28	0.08
FNIP1	0.15	0.56	0.61	0.54	0.46	0.58	0.66	0.23	0.49	0.72	0.48	0.85	0.14	0.42	0.81	0.51	0.70	0.65	0.83	0.26	0.85	0.07	0.78	0.57	0.36	0.80	0.70	0.55	0.94	0.86	0.62	0.37	0.54	0.06	0.04	0.68	0.81	1.00	0.65	0.27	0.80	0.24	0.59	0.76	0.75	0.91	0.32	0.83	0.65	0.42	0.29	0.09	0.21	0.80	0.87	0.99	0.69	0.27	0.55	0.55	0.77	0.68	0.60	0.83	0.09
AK014841	0.10	0.47	0.33	0.56	0.59	0.08	0.30	0.82	0.21	0.73	0.05	0.01	0.92	0.59	0.91	0.82	0.55	0.16	0.70	0.21	0.84	0.39	0.71	0.43	0.92	0.25	0.21	0.28	0.38	0.60	0.53	0.63	0.77	0.82	0.03	0.39	0.26	0.92	0.31	0.06	0.60	0.55	0.03	0.45	0.51	0.29	0.56	0.06	0.80	0.06	0.06	0.92	0.96	0.84	0.67	0.43	1.00	0.13	0.29	0.59	0.09	0.94	0.40	0.10	0.71
CNOT8	0.21	0.72	0.04	0.11	0.50	0.36	0.79	0.03	0.97	0.08	0.90	0.88	0.07	0.23	0.16	0.17	0.42	0.43	0.26	0.12	0.44	0.17	0.40	0.02	0.06	0.23	0.68	0.93	0.44	0.71	0.13	0.61	0.22	0.85	0.12	0.77	0.51	0.68	0.06	0.42	0.48	0.08	0.46	0.56	0.35	0.01	0.97	0.36	0.75	0.79	0.04	0.81	0.05	0.90	0.76	0.19	0.22	0.37	0.97	0.88	0.37	0.15	0.42	0.68	0.84
HIST3H2A	0.59	0.40	0.03	0.70	0.30	0.34	0.44	0.32	0.63	0.26	0.17	0.69	0.22	0.90	0.20	0.25	0.29	0.06	0.49	0.35	0.50	0.34	0.28	0.34	0.27	0.82	0.34	0.64	0.75	0.19	0.71	0.42	0.72	0.37	0.35	0.69	0.40	0.79	0.84	0.41	0.17	0.51	0.08	0.65	0.49	0.40	0.06	0.85	0.39	0.08	0.46	0.44	0.38	0.55	0.44	0.80	0.72	0.57	0.62	0.23	0.41	0.86	0.53	0.50	0.28
NOP58	0.65	0.26	0.91	0.54	0.43	0.83	0.58	0.98	0.66	0.57	0.52	0.06	0.53	0.68	0.40	0.12	0.82	0.30	0.41	0.81	0.16	0.05	0.01	0.20	0.50	0.47	0.47	0.46	0.70	0.76	0.89	0.72	0.21	0.96	0.60	0.11	0.91	0.55	0.16	0.21	0.45	0.15	0.26	0.78	0.65	0.99	0.62	0.72	1.00	0.60	0.23	0.94	0.63	0.76	0.25	0.17	0.82	0.39	0.58	0.50	0.48	0.91	0.60	0.75	0.14
SREBF1	0.79	0.61	0.76	0.45	0.08	0.53	0.61	0.38	0.84	0.57	0.87	0.17	0.37	0.64	0.53	0.75	0.01	0.72	0.66	0.79	0.46	0.46	0.19	0.45	0.43	0.67	0.87	0.05	0.27	0.59	0.34	0.74	0.88	0.87	0.76	0.12	0.06	0.17	0.20	0.33	0.73	0.70	0.21	0.29	0.01	0.53	0.11	0.93	0.08	0.02	0.10	0.13	0.33	0.18	0.17	0.98	0.48	0.87	0.32	0.03	0.18	0.51	0.64	0.30	0.51
SMCR7	0.19	0.39	0.07	0.08	0.23	0.94	0.29	0.75	0.65	0.63	0.17	0.94	0.81	0.25	0.14	0.37	0.93	0.69	0.03	0.16	0.73	0.70	0.46	0.57	0.50	0.32	0.37	0.80	0.98	0.68	0.01	0.27	0.28	0.90	0.21	0.88	0.07	0.10	0.50	0.25	0.34	0.90	0.02	0.33	0.59	0.67	0.66	0.18	0.36	0.54	0.37	0.22	0.32	0.24	0.89	0.44	0.47	0.84	0.28	0.74	0.50	0.06	0.51	0.56	0.07
MAPK7	0.70	0.14	0.25	0.42	0.49	0.53	0.50	0.94	0.22	0.85	0.16	0.85	0.40	0.37	0.65	0.96	0.91	0.86	0.16	0.45	0.69	0.42	0.14	0.17	0.83	0.86	0.18	0.41	0.80	0.76	0.52	0.85	0.16	0.86	0.30	0.68	0.22	0.58	0.14	0.42	0.55	0.70	0.04	0.07	0.30	0.69	0.20	0.91	0.28	0.16	0.31	0.28	0.15	0.84	0.90	0.10	0.91	0.24	0.71	0.02	0.69	0.87	0.99	0.83	0.85
TTC19	0.44	0.60	0.70	0.93	0.45	0.62	0.47	0.84	0.55	0.88	0.03	0.02	0.45	0.52	0.25	0.11	0.86	0.42	0.16	0.60	0.89	0.31	0.77	0.66	0.68	0.16	0.89	0.18	0.25	0.48	0.99	0.28	0.50	0.98	0.63	0.01	0.67	0.98	0.10	0.27	0.14	0.81	0.85	0.06	0.44	0.93	0.90	0.22	0.77	1.00	0.41	0.76	0.99	0.60	0.46	0.07	0.03	0.15	0.91	0.66	1.00	0.91	0.39	0.53	0.12
FAM18B	0.73	0.38	0.24	0.46	0.20	0.30	0.08	0.16	0.08	0.67	0.03	0.84	0.59	0.44	0.50	0.65	0.56	0.58	0.72	0.74	0.08	0.82	0.11	0.48	0.63	0.68	0.72	0.62	0.56	0.23	0.16	0.21	0.30	0.23	0.78	0.69	0.72	0.82	0.44	0.43	0.50	0.73	0.28	0.50	0.66	0.98	0.74	0.83	0.95	0.48	0.96	0.94	0.26	0.96	0.60	0.93	0.46	0.70	0.46	0.22	0.85	0.62	0.24	0.83	0.99
AK136844	0.96	0.75	0.27	0.19	0.60	0.34	0.68	0.03	0.66	0.49	0.69	1.00	0.26	0.56	0.88	0.38	0.06	0.84	0.55	0.54	0.55	0.57	0.47	0.22	0.42	0.27	0.11	0.51	0.78	0.13	0.01	0.10	0.23	0.89	0.84	0.68	0.51	0.21	0.99	0.75	0.19	0.06	0.89	0.71	0.55	0.59	0.15	0.07	0.10	0.90	0.04	0.07	0.11	0.69	0.89	0.93	0.01	0.50	0.96	0.03	0.98	0.02	0.51	0.58	0.23
2310047M10RIK	0.97	0.74	0.75	0.90	0.23	0.94	0.54	0.22	0.63	0.67	0.07	0.07	0.08	0.25	0.95	0.67	0.78	0.52	0.25	0.02	0.06	0.87	0.10	0.71	0.38	0.17	0.03	0.46	0.08	0.32	0.77	0.67	0.37	0.59	0.79	0.15	0.99	0.80	0.36	0.36	0.34	0.53	0.38	0.29	0.60	0.52	0.21	0.98	0.42	0.50	0.50	0.25	0.59	0.18	0.77	0.88	0.67	0.61	0.56	0.76	0.42	0.09	0.44	0.44	0.33
TRP53	0.61	0.42	0.12	0.96	0.01	0.10	0.56	0.00	0.87	0.36	0.44	0.16	0.96	0.30	0.55	0.66	0.38	0.41	0.69	0.78	0.18	0.01	0.35	0.49	0.78	0.92	0.74	0.63	0.75	0.33	0.67	0.06	0.59	0.36	0.71	0.06	0.66	0.82	0.52	0.47	0.17	0.63	0.45	0.53	0.74	0.40	0.90	0.39	0.20	0.48	0.54	0.52	0.58	0.91	0.58	0.32	0.58	0.88	0.82	0.57	0.35	0.76	0.75	0.43	0.82
1810027O10RIK	0.13	0.74	0.67	0.92	0.54	0.96	0.29	1.00	0.75	0.10	0.63	0.57	0.55	0.78	0.37	0.31	0.50	0.37	0.95	0.93	0.20	0.28	0.86	0.58	0.37	0.06	0.94	0.04	0.77	0.25	0.37	0.37	0.98	0.65	0.74	0.35	0.49	0.93	0.13	0.79	0.98	0.97	0.24	0.82	0.75	0.53	0.43	0.40	0.41	0.81	0.01	0.56	0.23	0.84	0.67	0.88	0.57	0.24	0.40	0.03	0.84	0.36	0.87	0.14	0.47
PHF23	0.19	0.39	0.14	0.78	0.28	0.85	0.15	0.07	0.03	0.48	0.95	0.49	0.01	0.41	0.99	0.51	0.86	0.63	0.35	0.06	0.51	0.69	0.20	0.52	0.30	0.91	0.93	0.16	0.93	0.19	0.47	0.33	0.51	0.99	0.07	0.02	0.46	0.90	0.26	0.35	0.00	0.67	0.84	0.83	0.23	0.13	0.38	0.25	0.78	0.42	0.79	0.72	0.89	0.19	0.18	0.53	0.57	0.51	0.49	0.06	0.45	0.62	0.94	0.23	0.70
PELP1	0.44	0.94	0.12	0.17	0.75	0.22	0.73	0.52	0.05	0.30	0.10	0.10	0.31	0.11	0.50	0.42	0.36	0.60	0.42	0.93	0.61	0.93	0.66	0.29	0.98	0.07	0.04	0.74	0.13	0.92	0.17	0.29	0.21	0.32	0.75	0.07	0.64	0.66	0.74	0.64	0.29	0.26	0.52	0.86	0.44	0.47	0.74	0.09	0.45	0.45	0.15	0.98	0.02	0.37	0.54	0.29	0.07	0.08	0.90	0.24	0.88	0.19	0.49	0.61	0.90
SLC25A11	0.22	0.35	0.72	0.77	0.14	0.18	0.35	0.15	0.48	0.88	0.31	0.72	0.12	0.98	0.29	0.74	0.77	0.27	0.85	0.80	0.19	0.39	0.22	0.49	0.79	0.65	0.34	0.13	0.31	0.77	0.70	0.95	0.85	0.28	0.80	0.11	0.52	0.18	0.68	0.04	0.24	0.05	0.85	0.36	0.61	0.02	0.66	0.54	0.01	0.09	0.25	0.04	0.76	0.23	0.83	0.27	0.54	0.77	0.04	0.11	0.25	0.49	0.33	0.81	0.29
NUP88	0.67	0.59	0.44	0.82	0.97	0.10	0.08	0.77	0.56	0.83	0.30	0.71	0.25	0.12	0.80	0.93	0.15	0.39	0.26	0.25	0.21	0.52	0.22	0.67	0.79	0.67	0.88	0.17	0.88	0.21	0.71	0.22	0.48	0.43	0.73	0.61	0.17	0.63	0.81	0.25	0.98	0.43	0.78	0.34	0.03	0.55	0.03	0.01	0.61	0.56	0.40	0.51	0.72	0.26	0.20	0.90	0.55	0.55	0.96	0.54	0.94	0.83	0.61	0.57	0.91
EEF1B2	0.32	0.08	0.87	0.42	0.14	0.15	0.30	0.66	0.19	0.25	0.99	0.07	0.86	0.57	0.94	0.37	0.13	0.90	0.19	0.44	0.98	0.89	0.30	0.71	0.72	0.96	0.69	0.64	0.50	0.13	0.93	0.36	0.84	0.50	0.35	0.84	0.00	0.69	0.04	0.42	0.48	0.33	0.86	0.97	0.03	0.64	0.30	0.40	0.86	0.67	0.11	0.04	0.80	0.61	0.20	0.30	0.83	0.91	0.53	0.04	0.56	0.67	0.38	0.28	0.27
CYB5D2	0.96	0.65	0.73	0.53	0.62	0.72	0.06	0.46	0.97	0.39	0.69	0.27	0.39	0.72	0.30	0.91	0.33	0.70	0.41	0.76	0.00	0.33	0.56	0.61	0.74	0.64	0.28	0.26	0.15	0.24	0.63	0.34	0.55	0.18	0.17	0.55	0.86	0.06	0.74	0.30	0.57	0.56	0.68	0.26	0.69	0.74	0.14	0.90	0.49	0.68	0.46	0.27	0.05	0.32	0.45	0.64	0.41	0.75	0.90	0.34	0.93	0.05	0.36	0.86	0.19
ADAM23	0.82	0.29	0.52	0.22	0.27	0.70	0.97	0.42	0.98	0.93	0.92	0.89	0.06	0.22	0.20	0.97	0.14	0.06	0.76	0.03	0.83	0.67	0.14	0.53	0.24	0.57	0.70	0.99	0.66	0.49	0.57	0.82	0.00	0.93	0.35	0.72	0.14	0.01	0.98	0.70	0.69	0.64	0.12	0.91	0.54	0.83	0.89	0.93	0.04	0.35	0.75	0.06	0.11	0.35	0.79	0.63	0.11	0.54	0.31	0.14	0.42	0.82	0.24	0.86	0.04
RPA1	0.93	0.01	0.03	0.33	0.99	0.21	0.70	0.77	0.28	0.85	0.86	0.73	0.22	0.18	0.26	0.38	0.22	0.13	0.75	0.26	0.10	0.17	0.47	0.15	0.74	0.97	0.65	0.86	0.13	0.64	0.10	0.74	0.44	0.37	0.32	0.01	0.32	0.68	0.57	0.77	0.87	0.19	0.69	0.34	0.72	0.86	0.29	0.40	0.32	0.83	0.70	0.12	0.68	0.82	0.95	0.64	0.02	0.31	0.40	0.99	0.66	0.29	0.52	0.75	0.83
INPP5K	0.60	0.96	0.70	0.16	0.73	0.29	0.92	0.95	0.56	0.92	0.13	0.73	0.11	0.52	0.45	0.23	0.48	0.84	0.45	0.15	0.49	0.09	0.69	0.43	0.46	0.41	0.84	0.58	0.90	0.45	0.74	0.35	1.00	0.63	0.87	0.20	0.17	0.91	0.89	0.59	0.42	0.11	0.52	0.44	0.44	0.74	0.86	0.77	0.78	0.96	0.50	0.86	0.58	0.19	0.69	0.92	0.17	0.01	0.31	0.27	0.92	0.66	0.01	0.11	0.69
ABR	0.82	0.09	0.92	0.43	0.25	0.75	0.44	0.51	0.77	0.03	0.15	1.00	0.55	0.19	0.35	0.78	0.43	0.92	0.32	0.61	0.48	0.69	0.61	0.52	0.38	0.98	0.64	0.97	0.45	0.82	0.82	0.50	0.71	0.02	0.51	0.85	0.08	0.76	1.00	0.09	0.34	0.66	0.03	0.34	0.10	0.18	0.57	0.16	0.68	0.13	0.49	0.68	0.64	0.71	0.91	0.27	0.87	0.52	0.85	0.77	0.04	0.71	0.66	0.74	0.81
ABHD15	0.54	0.20	0.69	0.21	0.08	0.27	0.20	1.00	0.24	0.01	0.64	0.10	0.94	0.30	0.24	0.47	0.65	0.58	0.84	0.43	0.79	0.07	0.02	0.88	0.42	0.68	0.85	1.00	0.31	0.12	0.83	0.44	0.53	0.21	0.36	0.93	0.86	0.82	0.50	0.62	0.72	0.56	0.92	0.52	0.15	0.25	0.72	0.40	0.60	0.51	0.84	0.32	0.65	0.39	0.78	0.89	0.96	0.50	0.38	0.79	0.52	0.83	0.43	0.99	0.95
RPL23A	0.48	0.77	0.86	0.78	0.62	0.05	0.46	0.57	0.15	0.24	0.59	0.27	0.52	0.30	0.95	0.63	0.34	0.21	0.24	0.36	0.66	0.32	0.70	0.63	0.06	0.87	0.99	0.16	0.60	0.48	0.19	0.34	0.88	0.96	0.53	0.87	0.50	0.52	0.05	0.37	0.50	0.71	0.50	0.97	0.15	0.18	0.72	0.64	0.45	0.39	0.90	0.49	0.77	0.57	0.81	0.33	0.23	0.25	0.72	0.81	0.38	0.26	0.03	0.43	0.90
UNC119	0.10	0.24	0.36	0.77	0.66	0.87	0.97	0.60	0.37	0.12	0.58	0.69	0.56	0.90	0.85	0.90	0.36	0.35	0.08	0.10	0.25	0.13	0.48	0.69	0.03	0.34	0.85	0.19	0.19	0.62	0.88	0.51	0.78	0.43	0.53	0.62	0.34	0.81	0.20	0.63	0.49	0.13	0.49	0.17	0.03	0.25	0.42	0.70	0.30	0.37	0.75	0.32	0.47	0.25	0.48	0.25	0.96	0.83	0.84	0.29	0.21	0.51	0.46	0.02	0.38
WSB1	0.57	0.36	0.46	0.02	0.69	0.59	0.67	0.57	0.35	0.50	0.40	0.54	0.11	0.23	0.57	0.07	0.71	0.33	0.59	0.31	0.97	0.04	0.26	0.88	0.82	0.15	0.24	0.70	0.13	0.13	0.25	0.94	0.98	0.19	0.08	0.43	0.32	0.67	0.41	0.43	0.06	0.73	0.48	0.52	0.15	0.93	0.32	0.49	0.38	0.92	0.34	0.56	0.48	0.60	0.91	0.51	0.06	0.27	0.39	0.41	0.69	0.89	0.91	0.66	0.48
ADAP2	0.54	0.52	0.44	0.45	0.55	0.38	0.25	0.69	0.20	0.42	1.00	0.14	0.41	0.04	0.16	0.61	0.79	0.20	0.53	0.70	0.09	0.28	0.27	0.45	0.87	0.43	0.02	0.02	0.53	0.57	0.01	0.36	0.97	0.58	0.72	0.63	0.34	0.80	0.56	0.64	0.70	0.54	0.90	0.01	0.67	0.77	0.86	0.46	0.46	0.89	0.64	0.81	0.72	0.71	0.36	0.92	0.77	0.40	0.15	0.40	0.31	0.07	0.39	0.84	0.43
RFFL	0.55	0.74	0.23	0.47	0.05	0.14	0.54	0.78	0.33	0.72	0.22	0.37	0.04	0.95	0.47	0.28	0.52	0.40	0.65	0.35	0.57	0.63	0.20	0.78	0.70	0.85	0.88	0.88	0.71	0.45	0.58	0.23	0.12	0.53	0.13	0.32	0.16	0.28	0.59	0.87	0.45	0.15	0.77	0.35	0.12	0.33	0.11	0.69	0.47	0.43	0.49	0.97	0.73	0.38	1.00	0.36	0.48	0.77	0.97	0.23	0.05	0.35	0.48	0.15	0.00
SLFN2	0.85	0.57	0.15	0.38	0.84	0.97	0.70	0.36	0.07	0.92	0.52	0.81	0.24	0.41	0.67	0.92	0.87	0.81	0.99	0.55	0.58	0.95	0.90	0.57	0.29	0.95	0.51	0.62	0.80	0.01	0.92	0.35	0.38	0.79	0.48	0.80	0.18	0.47	0.82	0.71	0.54	0.69	0.72	0.61	0.64	0.35	0.10	0.97	0.06	0.41	0.56	0.11	0.20	0.69	0.45	1.00	0.77	0.47	0.00	0.69	0.11	0.54	0.76	0.81	0.48
CCL5	0.71	0.35	0.29	0.81	0.17	0.29	0.36	0.30	0.49	0.68	0.52	0.09	0.23	0.81	0.91	0.72	0.00	0.41	0.51	0.38	0.76	0.06	0.15	0.92	0.13	0.82	0.17	0.14	0.23	0.91	0.05	0.05	0.65	0.50	0.59	0.89	0.35	0.51	0.66	0.18	0.98	0.48	0.76	0.47	0.58	0.95	0.76	0.29	0.28	0.25	0.21	0.09	0.10	0.83	0.52	0.46	0.09	0.76	0.00	0.19	0.92	0.09	0.98	0.54	0.11
1100001G20RIK	0.52	0.06	0.73	0.21	0.06	0.74	0.55	0.71	0.65	0.34	0.32	0.41	0.11	0.71	0.98	0.40	0.80	0.63	0.21	0.86	0.06	0.63	0.23	0.93	0.10	0.17	0.92	0.45	0.89	0.47	0.95	0.39	0.06	0.74	0.31	0.66	0.11	0.42	0.05	0.18	0.66	0.19	0.50	0.15	0.99	0.50	1.00	0.17	0.86	0.31	0.31	0.78	0.82	0.01	0.46	0.15	0.46	0.41	0.85	0.98	0.24	0.35	0.46	0.15	0.75
CAR4	0.17	0.50	0.86	0.70	0.90	0.86	0.94	0.94	0.11	0.29	0.14	0.58	0.19	0.25	0.37	0.53	0.38	0.93	0.59	0.44	0.79	0.17	0.48	0.30	0.66	0.72	0.02	0.32	0.06	0.84	0.24	0.48	0.66	0.10	0.48	0.83	0.66	0.82	0.37	0.72	0.89	0.18	0.04	0.84	0.32	0.51	0.30	0.90	0.02	0.32	0.08	0.85	0.38	0.43	0.60	0.04	0.49	0.62	0.33	0.44	0.34	0.49	0.20	0.55	0.93
INTS2	0.75	0.23	0.99	0.43	0.35	0.57	0.56	0.00	0.43	0.90	0.91	0.19	0.45	0.86	0.74	0.54	0.49	0.66	0.84	0.47	0.33	0.49	0.17	0.53	0.81	0.75	0.95	0.16	0.96	0.68	0.28	0.35	0.73	0.37	0.55	0.60	0.01	0.62	0.28	0.98	0.44	0.77	0.10	0.74	0.36	0.24	0.50	0.86	0.73	0.14	0.46	0.04	0.13	0.09	0.82	0.21	0.25	0.57	0.03	0.64	0.61	0.02	0.91	0.90	0.93
CLTC	0.62	0.09	0.54	0.14	0.11	0.01	0.48	0.19	0.33	0.82	0.86	0.59	0.42	0.13	0.22	0.37	0.94	0.37	0.45	0.87	0.40	0.97	0.87	0.33	0.46	0.78	0.80	0.48	0.18	0.20	0.17	0.68	0.83	0.16	0.91	0.81	0.38	0.79	0.18	0.66	0.98	0.80	0.67	0.23	0.27	0.95	0.55	0.34	0.53	0.53	0.23	0.92	0.92	0.47	0.59	0.33	0.74	0.12	0.58	0.07	0.27	0.19	0.68	0.38	0.91
HSF5	0.20	0.46	0.96	0.07	0.97	0.55	0.89	0.13	0.47	0.52	0.38	0.65	0.35	0.74	0.95	0.57	0.82	0.38	0.33	0.51	0.04	0.04	0.59	0.87	0.80	0.78	0.60	0.49	0.21	0.68	0.34	0.71	0.18	0.91	0.85	0.22	0.30	0.90	0.43	0.52	0.82	0.14	0.75	0.10	0.69	0.19	0.82	0.01	0.24	0.07	0.82	0.50	0.91	0.56	0.07	0.47	0.84	0.99	0.23	0.71	0.12	0.83	0.80	0.20	0.23
TRIM25	0.83	0.53	0.35	0.85	0.25	0.02	0.93	0.07	0.83	0.73	0.83	0.01	0.80	0.84	0.19	0.65	0.56	0.04	0.95	0.56	0.64	0.41	0.82	0.89	0.08	0.30	0.59	0.12	0.35	0.92	0.13	0.31	0.14	0.74	0.70	0.78	0.47	0.95	0.52	0.01	0.50	0.82	0.44	0.01	0.13	0.25	0.93	0.45	0.27	0.23	0.39	0.86	0.53	0.72	0.03	0.81	0.99	0.20	0.86	0.92	0.22	0.91	0.32	0.72	0.12
NME2	0.73	0.75	0.81	0.28	0.10	0.46	0.16	0.50	0.99	0.97	0.74	0.75	0.46	0.20	0.55	0.55	0.89	0.47	0.14	0.93	0.24	0.74	0.60	0.65	0.82	0.31	0.37	0.36	0.54	0.17	0.85	0.85	0.66	0.24	0.59	0.17	0.84	0.30	0.59	0.23	0.01	0.45	0.16	0.42	0.01	0.86	0.63	0.30	0.20	0.29	0.03	0.19	0.57	0.16	0.48	0.85	0.38	0.28	0.63	0.46	0.55	0.02	0.59	0.60	0.03
